"STATISTIC Label","Year","Age Group","Sex","UNIT","VALUE"
"Population Estimates (Persons in April)","2012","All ages","Both sexes","Thousand","4593.7"
"Population Estimates (Persons in April)","2013","All ages","Both sexes","Thousand","4614.7"
"Population Estimates (Persons in April)","2014","All ages","Both sexes","Thousand","4645.4"
"Population Estimates (Persons in April)","2015","All ages","Both sexes","Thousand","4687.8"
"Population Estimates (Persons in April)","2016","All ages","Both sexes","Thousand","4739.6"
"Population Estimates (Persons in April)","2017","All ages","Both sexes","Thousand","4810.9"
"Population Estimates (Persons in April)","2018","All ages","Both sexes","Thousand","4884.9"
"Population Estimates (Persons in April)","2019","All ages","Both sexes","Thousand","4958.5"
"Population Estimates (Persons in April)","2020","All ages","Both sexes","Thousand","5029.9"
"Population Estimates (Persons in April)","2021","All ages","Both sexes","Thousand","5074.7"
"Population Estimates (Persons in April)","2022","All ages","Both sexes","Thousand","5184"
"Population Estimates (Persons in April)","2023","All ages","Both sexes","Thousand","5281.6"
"Population Estimates (Persons in April)","2024","All ages","Both sexes","Thousand","5380.3"
"Population Estimates (Persons in April)","2025","All ages","Both sexes","Thousand","5458.6"
