Year,Region,Price_Index,Completions,Rent_Index,Population,Completions_per_1000,Price_Growth,Rent_Growth
2012,Dublin,56.3,4,46.7,4593700,0.000870758,,
2013,Dublin,61.8,5,49.3,4614700,0.001083494,9.769094139,5.56745182
2014,Dublin,76.7,14,53.3,4645400,0.003013734,24.11003236,8.113590264
2015,Dublin,84.4,35,57.6,4687800,0.007466189,10.03911343,8.067542214
2016,Dublin,88.7,38,62.6,4739600,0.008017554,5.09478673,8.680555556
2017,Dublin,97.1,43,66.8,4810900,0.008938037,9.470124014,6.709265176
2018,Dublin,105.4,79,71.1,4884900,0.016172286,8.547888774,6.437125749
2019,Dublin,105.4,219,74.8,4958500,0.044166583,0,5.203938115
2020,Dublin,104.8,187,75,5029900,0.037177677,-0.569259962,0.267379679
2021,Dublin,112.5,116,77.1,5074700,0.022858494,7.347328244,2.8
2022,Dublin,124,181,84.6,5184000,0.034915123,10.22222222,9.727626459
2023,Dublin,124.8,23,90.9,5281600,0.004354741,0.64516129,7.446808511
2024,Dublin,135.6,36,95.7,5380300,0.006691077,8.653846154,5.280528053
2025,Dublin,143.9,134,100,5458600,0.024548419,6.120943953,4.493207941
2012,National,60.9,9822,46.7,4593700,2.138145721,,-53.3
2013,National,61.6,9150,49.3,4614700,1.982794114,1.149425287,5.56745182
2014,National,71.8,11036,53.3,4645400,2.375683472,16.55844156,8.113590264
2015,National,80.1,14438,57.6,4687800,3.079909552,11.55988858,8.067542214
2016,National,86,19456,62.6,4739600,4.104987763,7.365792759,8.680555556
2017,National,95.4,28456,66.8,4810900,5.914901578,10.93023256,6.709265176
2018,National,105.1,35572,71.1,4884900,7.282032386,10.16771488,6.437125749
2019,National,107.6,42068,74.8,4958500,8.484017344,2.378686965,5.203938115
2020,National,107.9,40982,75,5029900,8.147676892,0.278810409,0.267379679
2021,National,116.9,40912,77.1,5074700,8.061954401,8.341056534,2.8
2022,National,131.3,59244,84.6,5184000,11.42824074,12.3182207,9.727626459
2023,National,135.3,64972,90.9,5281600,12.30157528,3.046458492,7.446808511
2024,National,146.8,60294,95.7,5380300,11.2064383,8.499630451,5.280528053
2025,National,157.9,72568,100,5458600,13.29425127,7.561307902,4.493207941
2012,National excluding Dublin,62,,46.7,4593700,,,-53.3
2013,National excluding Dublin,57.7,,49.3,4614700,,-6.935483871,5.56745182
2014,National excluding Dublin,62.2,,53.3,4645400,,7.798960139,8.113590264
2015,National excluding Dublin,70.4,,57.6,4687800,,13.18327974,8.067542214
2016,National excluding Dublin,77.4,,62.6,4739600,,9.943181818,8.680555556
2017,National excluding Dublin,86.8,,66.8,4810900,,12.14470284,6.709265176
2018,National excluding Dublin,97.2,,71.1,4884900,,11.98156682,6.437125749
2019,National excluding Dublin,101.9,,74.8,4958500,,4.835390947,5.203938115
2020,National excluding Dublin,103,,75,5029900,,1.079489696,0.267379679
2021,National excluding Dublin,112.5,,77.1,5074700,,9.223300971,2.8
2022,National excluding Dublin,128.2,,84.6,5184000,,13.95555556,9.727626459
2023,National excluding Dublin,134.6,,90.9,5281600,,4.992199688,7.446808511
2024,National excluding Dublin,145.9,,95.7,5380300,,8.395245171,5.280528053
2025,National excluding Dublin,158.5,,100,5458600,,8.63605209,4.493207941
2012,Rest of Ireland,4.6,9818,46.7,4593700,2.137274964,,-53.3
2013,Rest of Ireland,-0.2,9145,49.3,4614700,1.98171062,-104.3478261,5.56745182
2014,Rest of Ireland,-4.9,11022,53.3,4645400,2.372669738,2350,8.113590264
2015,Rest of Ireland,-4.3,14403,57.6,4687800,3.072443364,-12.24489796,8.067542214
2016,Rest of Ireland,-2.7,19418,62.6,4739600,4.096970208,-37.20930233,8.680555556
2017,Rest of Ireland,-1.7,28413,66.8,4810900,5.905963541,-37.03703704,6.709265176
2018,Rest of Ireland,-0.3,35493,71.1,4884900,7.265860099,-82.35294118,6.437125749
2019,Rest of Ireland,2.2,41849,74.8,4958500,8.439850761,-833.3333333,5.203938115
2020,Rest of Ireland,3.1,40795,75,5029900,8.110499215,40.90909091,0.267379679
2021,Rest of Ireland,4.4,40796,77.1,5074700,8.039095907,41.93548387,2.8
2022,Rest of Ireland,7.3,59063,84.6,5184000,11.39332562,65.90909091,9.727626459
2023,Rest of Ireland,10.5,64949,90.9,5281600,12.29722054,43.83561644,7.446808511
2024,Rest of Ireland,11.2,60258,95.7,5380300,11.19974723,6.666666667,5.280528053
2025,Rest of Ireland,14,72434,100,5458600,13.26970285,25,4.493207941
